Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.03     0.00     1890     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateLR(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00     1862     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateRL(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00      237     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.03     0.00      212     0.00     0.00  AVLTree<testing, Compare>::TCompare(AVLTreeInternals::NodeData<testing> const&, AVLTreeInternals::NodeData<testing> const&) const
  0.00      0.03     0.00      212     0.00     0.00  Compare::operator()(testing, testing) const
  0.00      0.03     0.00      154     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::_Deque_iterator(std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&)
  0.00      0.03     0.00      150     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::end()
  0.00      0.03     0.00      148     0.00     0.00  AVLTreeInternals::AVLTreeBase<testing, Compare>::getHeight(AVLTreeInternals::AVLTreeBase<testing, Compare>::Node*)
  0.00      0.03     0.00      146     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::operator*() const
  0.00      0.03     0.00      146     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::operator--()
  0.00      0.03     0.00      146     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::back()
  0.00      0.03     0.00      146     0.00     0.00  std::stack<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> > >::top()
  0.00      0.03     0.00      141     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::_S_buffer_size()
  0.00      0.03     0.00      133     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::size() const
  0.00      0.03     0.00      133     0.00     0.00  std::stack<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> > >::size() const
  0.00      0.03     0.00      133     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::difference_type std::operator-<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>(std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&, std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&)
  0.00      0.03     0.00       90     0.00     0.00  AVLTreeInternals::AVLTreeBase<testing, Compare>::TEqual(testing const&, testing const&) const
  0.00      0.03     0.00       74     0.00     0.00  AVLTreeInternals::AVLTreeBase<testing, Compare>::calculateBalanceFactor(AVLTreeInternals::AVLTreeBase<testing, Compare>::Node*)
  0.00      0.03     0.00       72     0.00     0.00  AVLTree<testing, Compare>::Iterator::IteratorNodeData&& std::forward<AVLTree<testing, Compare>::Iterator::IteratorNodeData>(std::remove_reference<AVLTree<testing, Compare>::Iterator::IteratorNodeData>::type&)
  0.00      0.03     0.00       48     0.00     0.00  std::remove_reference<AVLTree<testing, Compare>::Iterator::IteratorNodeData&>::type&& std::move<AVLTree<testing, Compare>::Iterator::IteratorNodeData&>(AVLTree<testing, Compare>::Iterator::IteratorNodeData&)
